4602,4838
1967,7382
4602,7887
2547,9461
4602,9627
7887,9627
4505,10520
10520,13077
4505,13077
3975,15759
3975,16777
15759,16777
2547,17445
9461,17445
9627,17766
4602,17766
4602,17795
4838,17795
17766,17795
7382,19104
15759,23485
16777,23485
9461,25239
3975,25994
16777,25994
15759,25994
15733,27544
23485,28284
15759,28284
4602,29755
17766,29755
9627,29755
17795,29755
9466,30811
9461,33455
2547,33455
17445,33455
10805,33514
32863,33514
23485,33576
15759,33576
28284,33576
16777,33576
4505,35926
10520,35926
1967,36460
19104,37636
4838,39012
17795,39012
