339,987
702,1175
702,1695
450,2136
450,3979
3155,4012
3155,5233
2136,5343
987,5742
339,5742
3479,5748
3588,6027
1695,6709
1175,6953
339,7921
5742,7975
987,7975
339,7975
1695,8083
6709,8083
5742,8101
7975,8101
987,8101
339,8101
5748,8201
987,8493
8101,8493
5742,8493
7975,8493
339,9222
7975,9222
5742,9222
8101,9222
2136,9345
5343,9345
987,9453
8493,9453
8101,9453
5742,9453
7975,9453
4012,9582
3155,9582
9582,9888
4012,9888
3155,9888
3155,10068
4012,10068
9582,10068
9888,10068
6709,10082
1695,10082
5343,10446
7921,10536
339,10536
2383,10932
450,11734
2136,11734
9345,11734
339,11768
9222,11768
7975,11768
6640,12321
6953,12708
6953,12859
12708,12859
1175,12859
10932,12980
2383,12980
10082,12980
1175,13036
6953,13036
12859,13036
8083,13346
702,13346
1695,13346
7718,14230
8201,14667
11138,14785
11734,14911
450,14911
2136,14911
9345,14911
2101,14942
1695,15336
8083,15336
13346,15336
6709,15336
5343,15441
10446,15441
9345,15441
2136,15441
15336,16050
1695,16050
6709,16050
8083,16050
10082,16050
7975,17143
5742,17143
8101,17143
9222,17143
11768,17143
9453,17143
339,17143
987,18084
8493,18084
9453,18084
8101,18084
5742,18084
7975,18084
14797,18925
10932,19146
2383,19146
12980,19146
702,19396
13346,19396
3979,20390
19396,20770
702,20770
13346,20770
12218,21090
339,21335
11768,21335
10536,21335
7921,21335
9222,21335
2136,21717
9345,21717
14911,21717
11734,21717
19146,22610
12980,22610
10932,22610
2383,22610
14667,23286
8201,23286
8493,23791
18084,23791
987,23791
9453,23791
8101,23791
5742,23791
11138,23968
14785,23968
19510,24361
23791,25011
8493,25011
18084,25011
987,25011
9453,25011
702,25611
19396,25611
20770,25611
13346,25611
21717,25795
2136,25795
9345,25795
14911,25795
11734,25795
6027,26259
987,26404
18084,26404
9453,26404
8493,26404
23791,26404
8101,26404
5742,26404
25011,26404
12859,26695
6953,26695
1175,26695
13036,26695
12708,26695
7921,26979
10536,26979
12321,27921
14667,28056
23286,28056
10082,28197
12980,28197
6709,28197
6953,28380
1175,28380
26695,28380
13036,28380
12859,28380
15336,29363
1695,29363
8083,29363
16050,29363
13346,29363
5233,31534
6640,31569
12321,31569
18925,32096
26259,32276
27176,32276
6027,32276
10536,32389
7921,32389
21335,32389
26979,32389
21717,32415
25795,32415
2136,32415
9345,32415
14911,32415
11734,32415
3588,32664
25011,33864
23791,33864
8493,33864
18084,33864
987,33864
26404,33864
9453,33864
13036,35662
1175,35662
28380,35662
6953,35662
8390,35788
26259,35821
6027,35821
32276,35821
3479,36507
5748,36507
